feature,mean_abs_shap,rank
rolling_mean_28_lag28,0.4941,1
rolling_std_28_lag28,0.3649,2
item_id,0.2732,3
dept_id,0.1273,4
rolling_mean_7_lag28,0.1149,5
day_of_week,0.0888,6
store_id,0.0737,7
lag_28,0.0373,8
price_relative_to_category_mean,0.0372,9
sell_price,0.0365,10
rolling_std_7_lag28,0.0235,11
lag_42,0.0203,12
week_of_year,0.0182,13
lag_35,0.0179,14
cat_id,0.0175,15
is_weekend,0.0163,16
is_snap_TX,0.0163,17
is_snap_CA,0.015,18
is_holiday,0.0147,19
is_snap_WI,0.0129,20
month,0.0083,21
state_id,0.0047,22
price_change_pct,0.0004,23
is_price_decrease,0.0,24
is_price_increase,0.0,25
