group,feature,mean_abs_shap,rank_within_group
FOODS,rolling_mean_28_lag28,0.5565,1
FOODS,rolling_std_28_lag28,0.3988,2
FOODS,item_id,0.2978,3
FOODS,rolling_mean_7_lag28,0.1397,4
FOODS,dept_id,0.1055,5
FOODS,day_of_week,0.0843,6
FOODS,store_id,0.0684,7
FOODS,lag_28,0.0439,8
FOODS,sell_price,0.0386,9
FOODS,price_relative_to_category_mean,0.0372,10
FOODS,rolling_std_7_lag28,0.0254,11
FOODS,lag_42,0.0236,12
FOODS,is_snap_TX,0.0211,13
FOODS,cat_id,0.0207,14
FOODS,lag_35,0.0201,15
FOODS,week_of_year,0.0193,16
FOODS,is_snap_WI,0.0182,17
FOODS,is_snap_CA,0.0176,18
FOODS,is_weekend,0.0166,19
FOODS,is_holiday,0.0139,20
FOODS,month,0.0093,21
FOODS,state_id,0.0046,22
FOODS,price_change_pct,0.0004,23
FOODS,is_price_decrease,0.0,24
FOODS,is_price_increase,0.0,25
HOBBIES,rolling_mean_28_lag28,0.4136,1
HOBBIES,rolling_std_28_lag28,0.33,2
HOBBIES,item_id,0.2428,3
HOBBIES,dept_id,0.16,4
HOBBIES,day_of_week,0.0905,5
HOBBIES,rolling_mean_7_lag28,0.0829,6
HOBBIES,store_id,0.0749,7
HOBBIES,price_relative_to_category_mean,0.0432,8
HOBBIES,sell_price,0.0376,9
HOBBIES,lag_28,0.0286,10
HOBBIES,cat_id,0.0218,11
HOBBIES,rolling_std_7_lag28,0.02,12
HOBBIES,lag_35,0.0154,13
HOBBIES,is_weekend,0.015,14
HOBBIES,lag_42,0.0149,15
HOBBIES,is_holiday,0.0148,16
HOBBIES,week_of_year,0.013,17
HOBBIES,is_snap_CA,0.0117,18
HOBBIES,is_snap_TX,0.0117,19
HOBBIES,is_snap_WI,0.0079,20
HOBBIES,month,0.0068,21
HOBBIES,state_id,0.0046,22
HOBBIES,price_change_pct,0.0005,23
HOBBIES,is_price_decrease,0.0,24
HOBBIES,is_price_increase,0.0,25
HOUSEHOLD,rolling_mean_28_lag28,0.4501,1
HOUSEHOLD,rolling_std_28_lag28,0.3364,2
HOUSEHOLD,item_id,0.255,3
HOUSEHOLD,dept_id,0.1404,4
HOUSEHOLD,rolling_mean_7_lag28,0.0974,5
HOUSEHOLD,day_of_week,0.0941,6
HOUSEHOLD,store_id,0.0802,7
HOUSEHOLD,price_relative_to_category_mean,0.034,8
HOUSEHOLD,sell_price,0.0331,9
HOUSEHOLD,lag_28,0.0327,10
HOUSEHOLD,rolling_std_7_lag28,0.0227,11
HOUSEHOLD,week_of_year,0.0194,12
HOUSEHOLD,lag_42,0.0185,13
HOUSEHOLD,is_weekend,0.0167,14
HOUSEHOLD,lag_35,0.0163,15
HOUSEHOLD,is_holiday,0.0158,16
HOUSEHOLD,is_snap_CA,0.0131,17
HOUSEHOLD,is_snap_TX,0.012,18
HOUSEHOLD,cat_id,0.0109,19
HOUSEHOLD,is_snap_WI,0.0082,20
HOUSEHOLD,month,0.0078,21
HOUSEHOLD,state_id,0.0047,22
HOUSEHOLD,price_change_pct,0.0004,23
HOUSEHOLD,is_price_decrease,0.0001,24
HOUSEHOLD,is_price_increase,0.0,25
